node,beta,degree
n7691,-2.81638932330843,12
n7703,-2.90512719009219,11
n7704,-1.59148219783467,39
n7713,-2.90512719009219,11
n7724,-1.64752969557201,37
n7725,-4.2182609136025,3
n7727,-3.22876674281693,8
n7730,-1.56446375821739,40
n7746,-2.19304414862394,22
n7764,-2.65878877372373,14
n7778,-2.06006679230716,25
n7779,-1.4870461441925,43
n7789,-1.18150417633145,57
n7795,-2.14687679098636,23
n7796,-3.51991143906438,6
n7805,-3.22876674281693,8
n7806,-1.83469209599483,31
n7821,-2.10260251764155,24
n7823,-3.70396596678197,5
n7825,-2.01913326864473,26
n7827,-2.52181158765623,16
n7829,-3.10925402987224,9
n783,-2.45946557240675,17
n7854,-2.73462116602256,13
n7866,-3.10925402987224,9
n7884,-0.775897416360579,82
n7889,-2.19304414862394,22
n79,-1.94160240624576,28
n7906,-2.45946557240675,17
n7912,0.206742666043682,185
n7914,-3.10925402987224,9
n7923,-1.46235927362908,44
n7926,-2.52181158765623,16
n7929,-4.2182609136025,3
n7933,-3.22876674281693,8
n7935,-1.59148219783467,39
n7940,-3.92884361178357,4
n7948,-1.43818987385348,45
n7955,-2.40058675432394,18
n7959,-3.00216491085157,10
n7973,-2.81638932330843,12
n7974,-2.29178836023261,20
n7975,-1.12515399712306,60
n7977,-2.65878877372373,14
n7990,-1.39131408225435,47
n7991,-0.922671806469675,72
n7992,-1.3462538899008,49
n7998,-2.34480010856028,19
n8003,-3.51991143906438,6
n8007,-0.362440276021219,117
n8016,-1.14364598793189,59
n8020,-3.22876674281693,8
n8021,-3.70396596678197,5
n8022,-2.73462116602256,13
n8030,-1.94160240624577,28
n8035,-2.58807250110575,15
n8036,-2.73462116602256,13
n8039,-2.29178836023261,20
n8058,-2.81638932330843,12
n8063,-3.51991143906438,6
n8064,-4.2182609136025,3
n8065,-1.2610167111047,53
n8072,-0.656767182146363,91
n8077,-0.789836478032582,81
n8099,-0.734962635677646,85
n8125,-2.34480010856028,19
n8142,-1.90480099215796,29
n8147,-0.938334083571598,71
n8166,-2.90512719009219,11
n8169,-1.28175512746789,52
n8172,-1.76875772912284,33
n8173,-1.51227480678234,42
n8194,-2.19304414862394,22
n8200,-1.24063513052395,54
n8201,-1.24063513052395,54
n8226,-1.51227480678234,42
n8230,-1.67663181284106,36
n8243,-2.40058675432394,18
n8244,-2.58807250110575,15
n8247,-3.51991143906438,6
n8250,-2.29178836023261,20
n8255,-2.45946557240675,17
n8257,-2.58807250110575,15
n8259,-3.10925402987224,9
n8269,-3.00216491085157,10
n8270,-2.65878877372373,14
n8271,-2.29178836023261,20
n8280,-2.10260251764155,24
n8288,-0.847163056743153,77
n8291,-2.81638932330843,12
n8293,-0.922671806469676,72
n8301,-3.10925402987224,9
n8305,-2.40058675432394,18
n8324,-2.24128070372103,21
n833,-2.52181158765623,16
n8330,-2.58807250110575,15
n8340,-1.41451522733064,46
n8342,0.082734919827319,168
n8346,-3.22876674281693,8
n8351,-1.67663181284106,36
n8356,-3.00216491085157,10
n8358,-2.73462116602256,13
n8362,-3.22876674281693,8
n8375,-3.92884361178357,4
n8381,-2.29178836023261,20
n8382,-1.83469209599483,31
n8392,-0.619347302609145,94
n8403,-2.73462116602256,13
n8417,-3.51991143906438,6
n8422,-1.86919023742149,30
n8425,-2.34480010856028,19
n8428,-2.81638932330843,12
n8433,-2.90512719009219,11
n8436,-0.938334083571598,71
n8442,-2.40058675432394,18
n8444,-1.08899668187074,62
n8457,-1.76875772912284,33
n8460,-0.468279909145745,107
n8461,-2.65878877372373,14
n8462,-2.58807250110575,15
n8465,-0.512994147404701,103
n8468,-2.81638932330843,12
n8472,-3.10925402987224,9
n8479,-2.40058675432394,18
n8488,-1.70650668077122,35
n8490,-2.45946557240675,17
n8506,-2.45946557240675,17
n8519,-2.58807250110575,15
n8529,-2.10260251764155,24
n8530,-2.29178836023261,20
n8535,-1.97968104286878,27
n854,-1.86919023742149,30
n8541,-2.73462116602256,13
n8552,-3.10925402987224,9
n8572,-1.3685665290991,48
n8573,-2.65878877372373,14
n8580,-1.80123595697192,32
n8585,-2.19304414862394,22
n8589,-1.67663181284106,36
n8597,-2.65878877372373,14
n8601,-2.52181158765623,16
n8603,-2.81638932330843,12
n8605,-1.83469209599483,31
n8606,-2.14687679098636,23
n8613,-1.43818987385348,45
n8625,-0.393358084411766,114
n8634,-2.65878877372373,14
n8637,-3.36402889844668,7
n8653,-2.65878877372373,14
n8655,-3.00216491085157,10
n8665,-1.10694057450043,61
n8669,-1.07131371481655,63
n8677,-1.73719906213548,34
n8678,-1.90480099215796,29
n8681,-1.83469209599483,31
n8684,-2.65878877372373,14
n8687,-1.2610167111047,53
n8689,-3.36402889844668,7
n8691,-3.00216491085157,10
n8704,-0.762107777997569,83
n8720,-1.53807134094284,41
n8721,-3.36402889844668,7
n8730,-2.81638932330843,12
n8732,-2.81638932330843,12
n8735,-2.10260251764155,24
n8741,-3.22876674281693,8
n8743,-1.28175512746789,52
n8746,-3.92884361178357,4
n8750,-3.10925402987224,9
n8752,-2.34480010856028,19
n8753,-3.10925402987224,9
n8783,-2.52181158765623,16
n8785,-2.34480010856028,19
n8786,-1.70650668077122,35
n8787,-1.2610167111047,53
n8790,-2.34480010856028,19
n8794,-1.05388347536692,64
n8798,-2.45946557240675,17
n8801,-1.46235927362908,44
n8805,-2.73462116602256,13
n8813,-2.65878877372373,14
n8821,-5.32034712090361,1
n8825,-1.97968104286878,27
n8826,-2.58807250110575,15
n8839,-2.19304414862394,22
n8842,-2.65878877372373,14
n8843,-2.90512719009219,11
n8854,-1.94160240624577,28
n8859,-1.76875772912284,33
n8862,-2.40058675432394,18
n8874,-2.90512719009219,11
n8876,-3.00216491085157,10
n8877,-1.3685665290991,48
n8878,-2.58807250110575,15
n8886,-3.36402889844668,7
n8887,-0.986538700526404,68
n8902,-3.00216491085157,10
n8903,-0.414355377885931,112
n8906,-2.58807250110575,15
n8909,-1.20089089934672,56
n8911,-2.73462116602256,13
n8917,-2.40058675432394,18
n8926,-1.24063513052395,54
n8930,-0.490454369284861,105
n8935,-3.10925402987224,9
n8936,-2.73462116602256,13
n8945,-2.81638932330843,12
n8947,-1.56446375821739,40
n8951,-1.53807134094284,41
n8953,-2.29178836023261,20
n8969,-0.226416262613587,131
n8974,-0.832587889373938,78
n8980,-2.40058675432394,18
n8988,-2.24128070372103,21
n8994,-2.90512719009219,11
n8997,-0.312366964966353,122
n9014,-2.06006679230716,25
n9038,-1.51227480678234,42
n9044,-2.10260251764155,24
n9050,-2.58807250110575,15
n9080,-2.24128070372103,21
n9090,-2.45946557240675,17
n9092,-0.217172517753166,132
n9093,-1.64752969557201,37
n9100,-1.64752969557201,37
n9104,-1.83469209599483,31
n9117,-2.24128070372103,21
n9118,-2.06006679230716,25
n9120,-3.22876674281693,8
n9127,-2.73462116602256,13
n9131,-2.81638932330843,12
n9133,-0.631703468688953,93
n9135,-3.00216491085157,10
n9136,-3.00216491085157,10
n9170,-4.2182609136025,3
n9178,-2.14687679098636,23
n9204,-2.65878877372373,14
n9210,-3.10925402987224,9
n9214,-1.03669814678652,65
n9238,-3.51991143906438,6
n9239,-1.86919023742149,30
n9247,-2.24128070372103,21
n9253,-1.03669814678652,65
n9258,-1.97968104286878,27
n9278,-1.61915914781588,38
n9288,-1.30286421198043,51
n9294,-2.58807250110575,15
n9306,-2.73462116602256,13
n9310,-2.73462116602256,13
n9312,-4.2182609136025,3
n9331,-2.45946557240675,17
n9337,-2.90512719009219,11
n9341,-2.19304414862394,22
n9345,-1.43818987385348,45
n9346,-3.36402889844668,7
n9350,-2.19304414862394,22
n9352,-2.40058675432394,18
n9360,-3.51991143906438,6
n9383,-1.18150417633145,57
n9384,-2.34480010856028,19
n9393,-2.81638932330843,12
n9400,-2.73462116602256,13
n9410,-2.81638932330843,12
n9412,-2.01913326864473,26
n9428,-1.12515399712306,60
n9429,-0.414355377885931,112
n9433,-2.73462116602256,13
n9437,-2.34480010856028,19
n9443,-2.06006679230716,25
n9447,-2.58807250110575,15
n9450,-3.36402889844668,7
n9457,-3.22876674281693,8
n9468,-0.524405456153337,102
n9473,-1.39131408225435,47
n9478,-1.80123595697192,32
n9498,-2.10260251764155,24
n9541,-1.00303272350237,67
n9548,-2.73462116602256,13
n9554,-0.748463997451662,84
n9556,-2.73462116602256,13
n9559,-2.29178836023261,20
n9566,-1.3462538899008,49
n9567,-2.52181158765623,16
n9569,-3.51991143906438,6
n9573,-3.51991143906438,6
n9579,-3.51991143906438,6
n9590,-2.90512719009219,11
n9593,-3.70396596678196,5
n9605,-0.803928661240424,80
n9610,-2.45946557240675,17
n9618,-1.64752969557201,37
n9624,-0.876826008826669,75
n9636,-1.86919023742149,30
n9642,-2.90512719009219,11
n9643,-3.51991143906438,6
n9653,-2.81638932330843,12
n9656,-1.30286421198043,51
n9662,-1.76875772912284,33
n9666,-4.2182609136025,3
n9671,-2.14687679098636,23
n9675,-3.00216491085157,10
n9684,-0.559227572591565,99
n9690,0.262058600103755,193
n9693,-2.65878877372373,14
n9694,-1.80123595697192,32
n9696,-2.14687679098636,23
n9707,-2.19304414862394,22
n9717,-1.64752969557201,37
n9718,-2.01913326864473,26
n9742,-2.58807250110575,15
n9745,-2.24128070372103,21
n9751,-3.00216491085157,10
n9755,-1.94160240624576,28
n9765,-2.90512719009219,11
n9768,-4.2182609136025,3
n9774,-3.22876674281693,8
n9785,-0.424973771222145,111
n9805,-1.12515399712306,60
n9811,-3.00216491085157,10
n9812,-2.73462116602256,13
n9815,-3.00216491085157,10
n9828,-3.51991143906438,6
n9851,-2.34480010856028,19
n9852,-3.92884361178357,4
n9858,-2.73462116602256,13
n9865,-2.58807250110575,15
n9868,-3.10925402987224,9
n9872,-3.10925402987224,9
n9873,-1.43818987385348,45
n9879,-1.59148219783467,39
n9887,-2.34480010856028,19
n9891,-2.58807250110575,15
n9893,-1.67663181284106,36
n9904,-3.70396596678196,5
n9907,-3.22876674281693,8
n9914,-3.10925402987224,9
n9916,-2.52181158765623,16
n9923,-3.10925402987224,9
n9939,-3.92884361178357,4
n9948,-2.10260251764155,24
n9953,-3.22876674281693,8
n9959,-4.2182609136025,3
n9960,-2.73462116602256,13
n9961,-2.06006679230716,25
n9963,-2.29178836023261,20
n9980,-1.97968104286878,27
n9985,-1.90480099215796,29
n9992,-2.34480010856028,19
n9993,-2.34480010856028,19
n9994,-3.10925402987224,9
